Iteration 00083    Loss 0.042259   PSNR_noisy: 13.740779   PSRN_gt: 13.740779 PSNR_gt_sm: 10.888508
Iteration 00084    Loss 0.043382   PSNR_noisy: 13.626905   PSRN_gt: 13.626905 PSNR_gt_sm: 10.928475
Iteration 00085    Loss 0.040523   PSNR_noisy: 13.923024   PSRN_gt: 13.923024 PSNR_gt_sm: 10.969139
Iteration 00086    Loss 0.040908   PSNR_noisy: 13.881908   PSRN_gt: 13.881908 PSNR_gt_sm: 11.009369
Iteration 00087    Loss 0.041473   PSNR_noisy: 13.822297   PSRN_gt: 13.822297 PSNR_gt_sm: 11.049016
Iteration 00088    Loss 0.043906   PSNR_noisy: 13.574732   PSRN_gt: 13.574732 PSNR_gt_sm: 11.087171
Iteration 00089    Loss 0.038991   PSNR_noisy: 14.090398   PSRN_gt: 14.090398 PSNR_gt_sm: 11.127400
Iteration 00090    Loss 0.040677   PSNR_noisy: 13.906546   PSRN_gt: 13.906546 PSNR_gt_sm: 11.167272
Iteration 00091    Loss 0.038514   PSNR_noisy: 14.143813   PSRN_gt: 14.143813 PSNR_gt_sm: 11.208072
Iteration 00092    Loss 0.038085   PSNR_noisy: 14.192516   PSRN_gt: 14.192516 PSNR_gt_sm: 11.248437
Iteration 00093    Loss 0.039453   PSNR_noisy: 14.039157   PSRN_gt: 14.039157 PSNR_gt_sm: 11.288492
Iteration 00094    Loss 0.038380   PSNR_noisy: 14.158943   PSRN_gt: 14.158943 PSNR_gt_sm: 11.328307
Iteration 00095    Loss 0.039453   PSNR_noisy: 14.039145   PSRN_gt: 14.039145 PSNR_gt_sm: 11.368402
Iteration 00096    Loss 0.037830   PSNR_noisy: 14.221605   PSRN_gt: 14.221605 PSNR_gt_sm: 11.408280
Iteration 00097    Loss 0.043192   PSNR_noisy: 13.645992   PSRN_gt: 13.645992 PSNR_gt_sm: 11.444895
Iteration 00098    Loss 0.036654   PSNR_noisy: 14.358744   PSRN_gt: 14.358744 PSNR_gt_sm: 11.484878
Iteration 00099    Loss 0.038862   PSNR_noisy: 14.104774   PSRN_gt: 14.104774 PSNR_gt_sm: 11.523846
Iteration 00100    Loss 0.037662   PSNR_noisy: 14.241013   PSRN_gt: 14.241013 PSNR_gt_sm: 11.563497
Iteration 00101    Loss 0.041621   PSNR_noisy: 13.806925   PSRN_gt: 13.806925 PSNR_gt_sm: 11.601152
Iteration 00102    Loss 0.038948   PSNR_noisy: 14.095101   PSRN_gt: 14.095101 PSNR_gt_sm: 11.639853
Iteration 00103    Loss 0.037305   PSNR_noisy: 14.282334   PSRN_gt: 14.282334 PSNR_gt_sm: 11.678519
Iteration 00104    Loss 0.036198   PSNR_noisy: 14.413189   PSRN_gt: 14.413189 PSNR_gt_sm: 11.717251
Iteration 00105    Loss 0.038760   PSNR_noisy: 14.116202   PSRN_gt: 14.116202 PSNR_gt_sm: 11.754111
Iteration 00106    Loss 0.037186   PSNR_noisy: 14.296210   PSRN_gt: 14.296210 PSNR_gt_sm: 11.791310
Iteration 00107    Loss 0.036336   PSNR_noisy: 14.396608   PSRN_gt: 14.396608 PSNR_gt_sm: 11.828734
Iteration 00108    Loss 0.037057   PSNR_noisy: 14.311353   PSRN_gt: 14.311353 PSNR_gt_sm: 11.865794
Iteration 00109    Loss 0.037557   PSNR_noisy: 14.253071   PSRN_gt: 14.253071 PSNR_gt_sm: 11.902943
Iteration 00110    Loss 0.036460   PSNR_noisy: 14.381785   PSRN_gt: 14.381785 PSNR_gt_sm: 11.940677
Iteration 00111    Loss 0.038235   PSNR_noisy: 14.175404   PSRN_gt: 14.175404 PSNR_gt_sm: 11.977276
Iteration 00112    Loss 0.040170   PSNR_noisy: 13.961036   PSRN_gt: 13.961036 PSNR_gt_sm: 12.013377
Iteration 00113    Loss 0.037542   PSNR_noisy: 14.254863   PSRN_gt: 14.254863 PSNR_gt_sm: 12.049519
Iteration 00114    Loss 0.036623   PSNR_noisy: 14.362511   PSRN_gt: 14.362511 PSNR_gt_sm: 12.084556
Iteration 00115    Loss 0.035276   PSNR_noisy: 14.525182   PSRN_gt: 14.525182 PSNR_gt_sm: 12.120364
Iteration 00116    Loss 0.036557   PSNR_noisy: 14.370252   PSRN_gt: 14.370252 PSNR_gt_sm: 12.155945
Iteration 00117    Loss 0.037648   PSNR_noisy: 14.242593   PSRN_gt: 14.242593 PSNR_gt_sm: 12.190080
Iteration 00118    Loss 0.033965   PSNR_noisy: 14.689689   PSRN_gt: 14.689689 PSNR_gt_sm: 12.226860
Iteration 00119    Loss 0.036747   PSNR_noisy: 14.347835   PSRN_gt: 14.347835 PSNR_gt_sm: 12.261837
Iteration 00120    Loss 0.035658   PSNR_noisy: 14.478401   PSRN_gt: 14.478401 PSNR_gt_sm: 12.297219
Iteration 00121    Loss 0.036504   PSNR_noisy: 14.376652   PSRN_gt: 14.376652 PSNR_gt_sm: 12.331784
Iteration 00122    Loss 0.034896   PSNR_noisy: 14.572272   PSRN_gt: 14.572272 PSNR_gt_sm: 12.366680
Iteration 00123    Loss 0.034768   PSNR_noisy: 14.588175   PSRN_gt: 14.588175 PSNR_gt_sm: 12.400815
Iteration 00124    Loss 0.036584   PSNR_noisy: 14.367107   PSRN_gt: 14.367107 PSNR_gt_sm: 12.433551
Iteration 00125    Loss 0.035276   PSNR_noisy: 14.525259   PSRN_gt: 14.525259 PSNR_gt_sm: 12.466418
Iteration 00126    Loss 0.035588   PSNR_noisy: 14.486962   PSRN_gt: 14.486962 PSNR_gt_sm: 12.499384
Iteration 00127    Loss 0.036344   PSNR_noisy: 14.395653   PSRN_gt: 14.395653 PSNR_gt_sm: 12.532097
Iteration 00128    Loss 0.035306   PSNR_noisy: 14.521480   PSRN_gt: 14.521480 PSNR_gt_sm: 12.565008
Iteration 00129    Loss 0.037563   PSNR_noisy: 14.252379   PSRN_gt: 14.252379 PSNR_gt_sm: 12.596807
Iteration 00130    Loss 0.034800   PSNR_noisy: 14.584151   PSRN_gt: 14.584151 PSNR_gt_sm: 12.629687
Iteration 00131    Loss 0.034221   PSNR_noisy: 14.657058   PSRN_gt: 14.657058 PSNR_gt_sm: 12.661974
Iteration 00132    Loss 0.035425   PSNR_noisy: 14.506854   PSRN_gt: 14.506854 PSNR_gt_sm: 12.692861
Iteration 00133    Loss 0.035410   PSNR_noisy: 14.508710   PSRN_gt: 14.508710 PSNR_gt_sm: 12.723327
Iteration 00134    Loss 0.034325   PSNR_noisy: 14.643945   PSRN_gt: 14.643945 PSNR_gt_sm: 12.754754
Iteration 00135    Loss 0.034840   PSNR_noisy: 14.579190   PSRN_gt: 14.579190 PSNR_gt_sm: 12.786299
Iteration 00136    Loss 0.032510   PSNR_noisy: 14.879849   PSRN_gt: 14.879849 PSNR_gt_sm: 12.819022
Iteration 00137    Loss 0.034277   PSNR_noisy: 14.650025   PSRN_gt: 14.650025 PSNR_gt_sm: 12.849515
Iteration 00138    Loss 0.032893   PSNR_noisy: 14.828981   PSRN_gt: 14.828981 PSNR_gt_sm: 12.880460
Iteration 00139    Loss 0.035723   PSNR_noisy: 14.470462   PSRN_gt: 14.470462 PSNR_gt_sm: 12.910010
Iteration 00140    Loss 0.034498   PSNR_noisy: 14.622123   PSRN_gt: 14.622123 PSNR_gt_sm: 12.940014
Iteration 00141    Loss 0.033840   PSNR_noisy: 14.705720   PSRN_gt: 14.705720 PSNR_gt_sm: 12.969722
Iteration 00142    Loss 0.035453   PSNR_noisy: 14.503511   PSRN_gt: 14.503511 PSNR_gt_sm: 12.998688
Iteration 00143    Loss 0.032511   PSNR_noisy: 14.879648   PSRN_gt: 14.879648 PSNR_gt_sm: 13.029632
Iteration 00144    Loss 0.031405   PSNR_noisy: 15.030038   PSRN_gt: 15.030038 PSNR_gt_sm: 13.060690
Iteration 00145    Loss 0.033076   PSNR_noisy: 14.804829   PSRN_gt: 14.804829 PSNR_gt_sm: 13.089852
Iteration 00146    Loss 0.032918   PSNR_noisy: 14.825617   PSRN_gt: 14.825617 PSNR_gt_sm: 13.118806
Iteration 00147    Loss 0.034034   PSNR_noisy: 14.680860   PSRN_gt: 14.680860 PSNR_gt_sm: 13.146835
Iteration 00148    Loss 0.032219   PSNR_noisy: 14.918883   PSRN_gt: 14.918883 PSNR_gt_sm: 13.176468
Iteration 00149    Loss 0.032716   PSNR_noisy: 14.852355   PSRN_gt: 14.852355 PSNR_gt_sm: 13.205797
Iteration 00150    Loss 0.032916   PSNR_noisy: 14.825887   PSRN_gt: 14.825887 PSNR_gt_sm: 13.234918
Iteration 00151    Loss 0.032660   PSNR_noisy: 14.859824   PSRN_gt: 14.859824 PSNR_gt_sm: 13.263844
Iteration 00152    Loss 0.032352   PSNR_noisy: 14.900960   PSRN_gt: 14.900960 PSNR_gt_sm: 13.292758
Iteration 00153    Loss 0.033004   PSNR_noisy: 14.814332   PSRN_gt: 14.814332 PSNR_gt_sm: 13.321082
Iteration 00154    Loss 0.033554   PSNR_noisy: 14.742558   PSRN_gt: 14.742558 PSNR_gt_sm: 13.348838
Iteration 00155    Loss 0.033020   PSNR_noisy: 14.812175   PSRN_gt: 14.812175 PSNR_gt_sm: 13.376389
