Iteration 00097    Loss 0.022278   PSNR_noisy: 17.429548   PSRN_gt: 20.428383 PSNR_gt_sm: 16.467850
Iteration 00098    Loss 0.022153   PSNR_noisy: 17.460312   PSRN_gt: 20.489801 PSNR_gt_sm: 16.515742
Iteration 00099    Loss 0.022103   PSNR_noisy: 17.484150   PSRN_gt: 20.534759 PSNR_gt_sm: 16.563783
Iteration 00100    Loss 0.022139   PSNR_noisy: 17.508411   PSRN_gt: 20.591232 PSNR_gt_sm: 16.611981
Iteration 00101    Loss 0.022164   PSNR_noisy: 17.516008   PSRN_gt: 20.601000 PSNR_gt_sm: 16.659995
Iteration 00102    Loss 0.022048   PSNR_noisy: 17.531921   PSRN_gt: 20.634101 PSNR_gt_sm: 16.707338
Iteration 00103    Loss 0.021996   PSNR_noisy: 17.550160   PSRN_gt: 20.676861 PSNR_gt_sm: 16.754792
Iteration 00104    Loss 0.022187   PSNR_noisy: 17.460344   PSRN_gt: 20.490639 PSNR_gt_sm: 16.800809
Iteration 00105    Loss 0.021977   PSNR_noisy: 17.524995   PSRN_gt: 20.620804 PSNR_gt_sm: 16.847590
Iteration 00106    Loss 0.021971   PSNR_noisy: 17.565607   PSRN_gt: 20.704454 PSNR_gt_sm: 16.894223
Iteration 00107    Loss 0.021972   PSNR_noisy: 17.556945   PSRN_gt: 20.690071 PSNR_gt_sm: 16.940119
Iteration 00108    Loss 0.021966   PSNR_noisy: 17.557258   PSRN_gt: 20.686071 PSNR_gt_sm: 16.985291
Iteration 00109    Loss 0.021975   PSNR_noisy: 17.578935   PSRN_gt: 20.732065 PSNR_gt_sm: 17.030671
Iteration 00110    Loss 0.021789   PSNR_noisy: 17.628569   PSRN_gt: 20.841081 PSNR_gt_sm: 17.078534
Iteration 00111    Loss 0.021839   PSNR_noisy: 17.613873   PSRN_gt: 20.809955 PSNR_gt_sm: 17.125073
Iteration 00112    Loss 0.021839   PSNR_noisy: 17.604506   PSRN_gt: 20.787425 PSNR_gt_sm: 17.170010
Iteration 00113    Loss 0.021797   PSNR_noisy: 17.552649   PSRN_gt: 20.678172 PSNR_gt_sm: 17.212437
