Iteration 00112    Loss 0.005137   PSNR_noisy: 24.978080   PSRN_gt: 24.978080 PSNR_gt_sm: 19.005697
Iteration 00113    Loss 0.005147   PSNR_noisy: 24.976791   PSRN_gt: 24.976791 PSNR_gt_sm: 19.070268
Iteration 00114    Loss 0.005283   PSNR_noisy: 24.786543   PSRN_gt: 24.786543 PSNR_gt_sm: 19.133570
Iteration 00115    Loss 0.005174   PSNR_noisy: 24.897194   PSRN_gt: 24.897194 PSNR_gt_sm: 19.195606
Iteration 00116    Loss 0.005123   PSNR_noisy: 24.930979   PSRN_gt: 24.930979 PSNR_gt_sm: 19.257853
Iteration 00117    Loss 0.005122   PSNR_noisy: 24.957688   PSRN_gt: 24.957688 PSNR_gt_sm: 19.321003
Iteration 00118    Loss 0.005120   PSNR_noisy: 24.949066   PSRN_gt: 24.949066 PSNR_gt_sm: 19.385252
Iteration 00119    Loss 0.005203   PSNR_noisy: 24.903207   PSRN_gt: 24.903207 PSNR_gt_sm: 19.451374
Iteration 00120    Loss 0.005157   PSNR_noisy: 24.960404   PSRN_gt: 24.960404 PSNR_gt_sm: 19.516222
Iteration 00121    Loss 0.005111   PSNR_noisy: 24.944571   PSRN_gt: 24.944571 PSNR_gt_sm: 19.579043
Iteration 00122    Loss 0.005165   PSNR_noisy: 24.796904   PSRN_gt: 24.796904 PSNR_gt_sm: 19.641764
Iteration 00123    Loss 0.005077   PSNR_noisy: 24.999886   PSRN_gt: 24.999886 PSNR_gt_sm: 19.702996
Iteration 00124    Loss 0.005138   PSNR_noisy: 24.957941   PSRN_gt: 24.957941 PSNR_gt_sm: 19.763279
Iteration 00125    Loss 0.005104   PSNR_noisy: 25.033150   PSRN_gt: 25.033150 PSNR_gt_sm: 19.821564
Iteration 00126    Loss 0.005118   PSNR_noisy: 25.033335   PSRN_gt: 25.033335 PSNR_gt_sm: 19.879347
Iteration 00127    Loss 0.005063   PSNR_noisy: 25.030680   PSRN_gt: 25.030680 PSNR_gt_sm: 19.940879
Iteration 00128    Loss 0.005052   PSNR_noisy: 25.094204   PSRN_gt: 25.094204 PSNR_gt_sm: 20.003348
Iteration 00129    Loss 0.005087   PSNR_noisy: 24.975050   PSRN_gt: 24.975050 PSNR_gt_sm: 20.066098
Iteration 00130    Loss 0.005081   PSNR_noisy: 24.964243   PSRN_gt: 24.964243 PSNR_gt_sm: 20.128895
Iteration 00131    Loss 0.005007   PSNR_noisy: 25.124323   PSRN_gt: 25.124323 PSNR_gt_sm: 20.189988
Iteration 00132    Loss 0.005122   PSNR_noisy: 24.998481   PSRN_gt: 24.998481 PSNR_gt_sm: 20.248704
Iteration 00133    Loss 0.005060   PSNR_noisy: 25.055755   PSRN_gt: 25.055755 PSNR_gt_sm: 20.305838
Iteration 00134    Loss 0.005045   PSNR_noisy: 25.042406   PSRN_gt: 25.042406 PSNR_gt_sm: 20.362750
Iteration 00135    Loss 0.005059   PSNR_noisy: 25.083949   PSRN_gt: 25.083949 PSNR_gt_sm: 20.417441
Iteration 00136    Loss 0.005024   PSNR_noisy: 25.033248   PSRN_gt: 25.033248 PSNR_gt_sm: 20.472383
Iteration 00137    Loss 0.005013   PSNR_noisy: 25.058252   PSRN_gt: 25.058252 PSNR_gt_sm: 20.528015
Iteration 00138    Loss 0.005004   PSNR_noisy: 25.087861   PSRN_gt: 25.087861 PSNR_gt_sm: 20.587757
Iteration 00139    Loss 0.005048   PSNR_noisy: 25.027740   PSRN_gt: 25.027740 PSNR_gt_sm: 20.646334
Iteration 00140    Loss 0.005005   PSNR_noisy: 25.068959   PSRN_gt: 25.068959 PSNR_gt_sm: 20.703114
Iteration 00141    Loss 0.005078   PSNR_noisy: 25.048795   PSRN_gt: 25.048795 PSNR_gt_sm: 20.760536
Iteration 00142    Loss 0.004954   PSNR_noisy: 25.161936   PSRN_gt: 25.161936 PSNR_gt_sm: 20.814404
Iteration 00143    Loss 0.005058   PSNR_noisy: 25.035553   PSRN_gt: 25.035553 PSNR_gt_sm: 20.865309
Iteration 00144    Loss 0.005005   PSNR_noisy: 25.098743   PSRN_gt: 25.098743 PSNR_gt_sm: 20.918331
Iteration 00145    Loss 0.004991   PSNR_noisy: 25.153264   PSRN_gt: 25.153264 PSNR_gt_sm: 20.973254
Iteration 00146    Loss 0.005041   PSNR_noisy: 25.136737   PSRN_gt: 25.136737 PSNR_gt_sm: 21.027576
