Iteration 00075    Loss 0.023655   PSNR_noisy: 17.089229   PSRN_gt: 19.784486 PSNR_gt_sm: 14.912471
Iteration 00076    Loss 0.023624   PSNR_noisy: 17.091930   PSRN_gt: 19.791787 PSNR_gt_sm: 14.969269
Iteration 00077    Loss 0.023467   PSNR_noisy: 17.127797   PSRN_gt: 19.859582 PSNR_gt_sm: 15.025047
Iteration 00078    Loss 0.023436   PSNR_noisy: 17.101437   PSRN_gt: 19.808743 PSNR_gt_sm: 15.079821
Iteration 00079    Loss 0.023602   PSNR_noisy: 17.064915   PSRN_gt: 19.738528 PSNR_gt_sm: 15.133744
Iteration 00080    Loss 0.023573   PSNR_noisy: 17.041008   PSRN_gt: 19.698166 PSNR_gt_sm: 15.187437
Iteration 00081    Loss 0.023331   PSNR_noisy: 17.138136   PSRN_gt: 19.881341 PSNR_gt_sm: 15.241615
Iteration 00082    Loss 0.023213   PSNR_noisy: 17.170098   PSRN_gt: 19.939136 PSNR_gt_sm: 15.295106
Iteration 00083    Loss 0.023489   PSNR_noisy: 17.113502   PSRN_gt: 19.831560 PSNR_gt_sm: 15.347299
Iteration 00084    Loss 0.023239   PSNR_noisy: 17.201709   PSRN_gt: 20.000444 PSNR_gt_sm: 15.400959
Iteration 00085    Loss 0.023278   PSNR_noisy: 17.171612   PSRN_gt: 19.942056 PSNR_gt_sm: 15.453746
Iteration 00086    Loss 0.023180   PSNR_noisy: 17.189161   PSRN_gt: 19.978027 PSNR_gt_sm: 15.506832
Iteration 00087    Loss 0.023025   PSNR_noisy: 17.226165   PSRN_gt: 20.044348 PSNR_gt_sm: 15.559209
Iteration 00088    Loss 0.022962   PSNR_noisy: 17.223671   PSRN_gt: 20.039136 PSNR_gt_sm: 15.610743
Iteration 00089    Loss 0.022937   PSNR_noisy: 17.267179   PSRN_gt: 20.126932 PSNR_gt_sm: 15.663904
Iteration 00090    Loss 0.022962   PSNR_noisy: 17.270016   PSRN_gt: 20.134530 PSNR_gt_sm: 15.717147
Iteration 00091    Loss 0.023173   PSNR_noisy: 17.227342   PSRN_gt: 20.053716 PSNR_gt_sm: 15.770048
Iteration 00092    Loss 0.022890   PSNR_noisy: 17.271745   PSRN_gt: 20.135920 PSNR_gt_sm: 15.822540
Iteration 00093    Loss 0.022992   PSNR_noisy: 17.226846   PSRN_gt: 20.046748 PSNR_gt_sm: 15.873324
Iteration 00094    Loss 0.022780   PSNR_noisy: 17.279519   PSRN_gt: 20.148817 PSNR_gt_sm: 15.923803
Iteration 00095    Loss 0.022902   PSNR_noisy: 17.260641   PSRN_gt: 20.112041 PSNR_gt_sm: 15.973784
Iteration 00096    Loss 0.022748   PSNR_noisy: 17.331663   PSRN_gt: 20.254738 PSNR_gt_sm: 16.024868
Iteration 00097    Loss 0.022703   PSNR_noisy: 17.371859   PSRN_gt: 20.330906 PSNR_gt_sm: 16.075584
Iteration 00098    Loss 0.022781   PSNR_noisy: 17.343610   PSRN_gt: 20.279437 PSNR_gt_sm: 16.126131
Iteration 00099    Loss 0.022747   PSNR_noisy: 17.349711   PSRN_gt: 20.292179 PSNR_gt_sm: 16.175593
Iteration 00100    Loss 0.022834   PSNR_noisy: 17.301636   PSRN_gt: 20.193083 PSNR_gt_sm: 16.223535
Iteration 00101    Loss 0.022664   PSNR_noisy: 17.336406   PSRN_gt: 20.259568 PSNR_gt_sm: 16.271752
Iteration 00102    Loss 0.022643   PSNR_noisy: 17.333859   PSRN_gt: 20.250801 PSNR_gt_sm: 16.319269
Iteration 00103    Loss 0.022540   PSNR_noisy: 17.380375   PSRN_gt: 20.347258 PSNR_gt_sm: 16.367866
Iteration 00104    Loss 0.022540   PSNR_noisy: 17.358148   PSRN_gt: 20.308281 PSNR_gt_sm: 16.415780
Iteration 00105    Loss 0.022433   PSNR_noisy: 17.431950   PSRN_gt: 20.455029 PSNR_gt_sm: 16.465574
Iteration 00106    Loss 0.022411   PSNR_noisy: 17.424025   PSRN_gt: 20.439773 PSNR_gt_sm: 16.514265
Iteration 00107    Loss 0.022311   PSNR_noisy: 17.454094   PSRN_gt: 20.499594 PSNR_gt_sm: 16.561908
Iteration 00108    Loss 0.022461   PSNR_noisy: 17.392176   PSRN_gt: 20.376937 PSNR_gt_sm: 16.608916
Iteration 00109    Loss 0.022384   PSNR_noisy: 17.398365   PSRN_gt: 20.385325 PSNR_gt_sm: 16.655327
Iteration 00110    Loss 0.022319   PSNR_noisy: 17.432395   PSRN_gt: 20.454987 PSNR_gt_sm: 16.702011
Iteration 00111    Loss 0.022342   PSNR_noisy: 17.468255   PSRN_gt: 20.526839 PSNR_gt_sm: 16.749134
Iteration 00112    Loss 0.022227   PSNR_noisy: 17.489112   PSRN_gt: 20.568973 PSNR_gt_sm: 16.795798
Iteration 00113    Loss 0.022206   PSNR_noisy: 17.489228   PSRN_gt: 20.568336 PSNR_gt_sm: 16.841494
Iteration 00114    Loss 0.022171   PSNR_noisy: 17.452488   PSRN_gt: 20.492434 PSNR_gt_sm: 16.885842
Iteration 00115    Loss 0.022261   PSNR_noisy: 17.452448   PSRN_gt: 20.494883 PSNR_gt_sm: 16.930885
Iteration 00116    Loss 0.022209   PSNR_noisy: 17.467766   PSRN_gt: 20.530624 PSNR_gt_sm: 16.976403
Iteration 00117    Loss 0.022086   PSNR_noisy: 17.543411   PSRN_gt: 20.681834 PSNR_gt_sm: 17.022178
Iteration 00118    Loss 0.022257   PSNR_noisy: 17.509583   PSRN_gt: 20.615681 PSNR_gt_sm: 17.067675
Iteration 00119    Loss 0.022289   PSNR_noisy: 17.485974   PSRN_gt: 20.560640 PSNR_gt_sm: 17.112369
Iteration 00120    Loss 0.022135   PSNR_noisy: 17.504742   PSRN_gt: 20.603945 PSNR_gt_sm: 17.157074
Iteration 00121    Loss 0.021972   PSNR_noisy: 17.551097   PSRN_gt: 20.699319 PSNR_gt_sm: 17.201218
Iteration 00122    Loss 0.021967   PSNR_noisy: 17.504281   PSRN_gt: 20.601083 PSNR_gt_sm: 17.244006
Iteration 00123    Loss 0.021907   PSNR_noisy: 17.547877   PSRN_gt: 20.691137 PSNR_gt_sm: 17.286954
Iteration 00124    Loss 0.021828   PSNR_noisy: 17.589420   PSRN_gt: 20.774214 PSNR_gt_sm: 17.329443
Iteration 00125    Loss 0.021953   PSNR_noisy: 17.550877   PSRN_gt: 20.696068 PSNR_gt_sm: 17.372102
Iteration 00126    Loss 0.021939   PSNR_noisy: 17.607773   PSRN_gt: 20.816317 PSNR_gt_sm: 17.415270
Iteration 00127    Loss 0.021822   PSNR_noisy: 17.619310   PSRN_gt: 20.840586 PSNR_gt_sm: 17.457990
Iteration 00128    Loss 0.021925   PSNR_noisy: 17.553824   PSRN_gt: 20.698233 PSNR_gt_sm: 17.499873
Iteration 00129    Loss 0.021872   PSNR_noisy: 17.589712   PSRN_gt: 20.777711 PSNR_gt_sm: 17.542181
Iteration 00130    Loss 0.021709   PSNR_noisy: 17.618714   PSRN_gt: 20.839947 PSNR_gt_sm: 17.584137
Iteration 00131    Loss 0.021803   PSNR_noisy: 17.603152   PSRN_gt: 20.810237 PSNR_gt_sm: 17.626049
Iteration 00132    Loss 0.021668   PSNR_noisy: 17.613691   PSRN_gt: 20.829478 PSNR_gt_sm: 17.666521
Iteration 00133    Loss 0.021770   PSNR_noisy: 17.622613   PSRN_gt: 20.847269 PSNR_gt_sm: 17.707034
Iteration 00134    Loss 0.021636   PSNR_noisy: 17.675365   PSRN_gt: 20.957075 PSNR_gt_sm: 17.748291
Iteration 00135    Loss 0.021688   PSNR_noisy: 17.649943   PSRN_gt: 20.898184 PSNR_gt_sm: 17.788363
Iteration 00136    Loss 0.021624   PSNR_noisy: 17.664637   PSRN_gt: 20.937178 PSNR_gt_sm: 17.828162
Iteration 00137    Loss 0.021654   PSNR_noisy: 17.625619   PSRN_gt: 20.849997 PSNR_gt_sm: 17.866378
Iteration 00138    Loss 0.021544   PSNR_noisy: 17.662679   PSRN_gt: 20.931622 PSNR_gt_sm: 17.905175
Iteration 00139    Loss 0.021721   PSNR_noisy: 17.599650   PSRN_gt: 20.799306 PSNR_gt_sm: 17.943146
Iteration 00140    Loss 0.021549   PSNR_noisy: 17.641794   PSRN_gt: 20.889985 PSNR_gt_sm: 17.981272
Iteration 00141    Loss 0.021641   PSNR_noisy: 17.674038   PSRN_gt: 20.961225 PSNR_gt_sm: 18.021164
Iteration 00142    Loss 0.021540   PSNR_noisy: 17.683886   PSRN_gt: 20.982242 PSNR_gt_sm: 18.059727
Iteration 00143    Loss 0.021497   PSNR_noisy: 17.689249   PSRN_gt: 20.991380 PSNR_gt_sm: 18.097276
Iteration 00144    Loss 0.021487   PSNR_noisy: 17.665964   PSRN_gt: 20.939213 PSNR_gt_sm: 18.134580
Iteration 00145    Loss 0.021498   PSNR_noisy: 17.645823   PSRN_gt: 20.898870 PSNR_gt_sm: 18.170852
